train_step 129	train_loss 0.5847	MSE 0.5847
train_step 130	train_loss 2.6333	MSE 2.6333
train_step 131	train_loss 0.5826	MSE 0.5826
train_step 132	train_loss 1.6788	MSE 1.6788
train_step 133	train_loss 0.5534	MSE 0.5534
train_step 134	train_loss 11.3452	MSE 11.3452
train_step 135	train_loss 1.1434	MSE 1.1434
train_step 136	train_loss 0.5415	MSE 0.5415
train_step 137	train_loss 4.5379	MSE 4.5379
train_step 138	train_loss 0.5059	MSE 0.5059
train_step 139	train_loss 5.1543	MSE 5.1543
train_step 140	train_loss 0.7925	MSE 0.7925
train_step 141	train_loss 2.5541	MSE 2.5541
train_step 142	train_loss 0.6153	MSE 0.6153
train_step 143	train_loss 2.0489	MSE 2.0489
train_step 144	train_loss 1.3034	MSE 1.3034
train_step 145	train_loss 1.3741	MSE 1.3741
train_step 146	train_loss 3.1016	MSE 3.1016
train_step 147	train_loss 0.2164	MSE 0.2164
train_step 148	train_loss 1.7348	MSE 1.7348
train_step 149	train_loss 1.2726	MSE 1.2726
train_step 150	train_loss 1.3150	MSE 1.3150
train_step 151	train_loss 0.6874	MSE 0.6874
train_step 152	train_loss 0.4295	MSE 0.4295
train_step 153	train_loss 3.8354	MSE 3.8354
train_step 154	train_loss 0.3708	MSE 0.3708
train_step 155	train_loss 0.3434	MSE 0.3434
train_step 156	train_loss 0.0443	MSE 0.0443
train_step 157	train_loss 0.9798	MSE 0.9798
train_step 158	train_loss 0.4358	MSE 0.4358
train_step 159	train_loss 4.0803	MSE 4.0803
train_step 160	train_loss 5.9308	MSE 5.9308
train_step 161	train_loss 1.0869	MSE 1.0869
train_step 162	train_loss 2.7921	MSE 2.7921
train_step 163	train_loss 0.4144	MSE 0.4144
train_step 164	train_loss 0.5946	MSE 0.5946
train_step 165	train_loss 8.2900	MSE 8.2900
train_step 166	train_loss 2.0505	MSE 2.0505
train_step 167	train_loss 1.0776	MSE 1.0776
train_step 168	train_loss 2.3292	MSE 2.3292
train_step 169	train_loss 0.9359	MSE 0.9359
train_step 170	train_loss 0.3726	MSE 0.3726
train_step 171	train_loss 0.3684	MSE 0.3684
train_step 172	train_loss 4.2318	MSE 4.2318
train_step 173	train_loss 0.6338	MSE 0.6338
train_step 174	train_loss 5.3071	MSE 5.3071
train_step 175	train_loss 1.2838	MSE 1.2838
train_step 176	train_loss 1.3519	MSE 1.3519
train_step 177	train_loss 0.9885	MSE 0.9885
train_step 178	train_loss 22.7793	MSE 22.7793
train_step 179	train_loss 0.5946	MSE 0.5946
train_step 180	train_loss 1.4481	MSE 1.4481
train_step 181	train_loss 2.3327	MSE 2.3327
train_step 182	train_loss 0.5937	MSE 0.5937
train_step 183	train_loss 0.2608	MSE 0.2608
train_step 184	train_loss 19.1394	MSE 19.1394
train_step 185	train_loss 0.0920	MSE 0.0920
train_step 186	train_loss 1.9568	MSE 1.9568
train_step 187	train_loss 1.0209	MSE 1.0209
train_step 188	train_loss 0.5190	MSE 0.5190
train_step 189	train_loss 1.7335	MSE 1.7335
train_step 190	train_loss 1.9633	MSE 1.9633
train_step 191	train_loss 0.8600	MSE 0.8600
train_step 192	train_loss 0.6301	MSE 0.6301
train_step 193	train_loss 1.2054	MSE 1.2054
train_step 194	train_loss 0.2363	MSE 0.2363
train_step 195	train_loss 2.1724	MSE 2.1724
train_step 196	train_loss 0.5530	MSE 0.5530
train_step 197	train_loss 1.8335	MSE 1.8335
train_step 198	train_loss 0.2163	MSE 0.2163
train_step 199	train_loss 4.1692	MSE 4.1692
train_step 200	train_loss 0.3086	MSE 0.3086
train_step 201	train_loss 1.1840	MSE 1.1840
train_step 202	train_loss 1.4740	MSE 1.4740
train_step 203	train_loss 2.7721	MSE 2.7721
train_step 204	train_loss 0.2214	MSE 0.2214
train_step 205	train_loss 1.3449	MSE 1.3449
train_step 206	train_loss 0.6442	MSE 0.6442
train_step 207	train_loss 1.4723	MSE 1.4723
train_step 208	train_loss 1.0078	MSE 1.0078
train_step 209	train_loss 1.4854	MSE 1.4854
train_step 210	train_loss 0.1452	MSE 0.1452
train_step 211	train_loss 2.0832	MSE 2.0832
train_step 212	train_loss 0.8472	MSE 0.8472
train_step 213	train_loss 0.3669	MSE 0.3669
train_step 214	train_loss 0.1082	MSE 0.1082
train_step 215	train_loss 30.0865	MSE 30.0865
train_step 216	train_loss 0.0292	MSE 0.0292
train_step 217	train_loss 2.2841	MSE 2.2841
train_step 218	train_loss 2.8039	MSE 2.8039
train_step 219	train_loss 0.8778	MSE 0.8778
train_step 220	train_loss 3.7131	MSE 3.7131
train_step 221	train_loss 7.8505	MSE 7.8505
train_step 222	train_loss 2.6626	MSE 2.6626
train_step 223	train_loss 2.7492	MSE 2.7492
train_step 224	train_loss 0.3041	MSE 0.3041
train_step 225	train_loss 1.3767	MSE 1.3767
train_step 226	train_loss 1.4914	MSE 1.4914
train_step 227	train_loss 0.8451	MSE 0.8451
