train_step 129	train_loss 3.1995	MSE 3.1995
train_step 130	train_loss 1.4136	MSE 1.4136
train_step 131	train_loss 0.8598	MSE 0.8598
train_step 132	train_loss 1.2106	MSE 1.2106
train_step 133	train_loss 0.7036	MSE 0.7036
train_step 134	train_loss 2.2934	MSE 2.2934
train_step 135	train_loss 2.6375	MSE 2.6375
train_step 136	train_loss 1.2870	MSE 1.2870
train_step 137	train_loss 1.1565	MSE 1.1565
train_step 138	train_loss 0.8923	MSE 0.8923
train_step 139	train_loss 0.9032	MSE 0.9032
train_step 140	train_loss 0.7572	MSE 0.7572
train_step 141	train_loss 2.0543	MSE 2.0543
train_step 142	train_loss 1.2123	MSE 1.2123
train_step 143	train_loss 2.6480	MSE 2.6480
train_step 144	train_loss 1.0750	MSE 1.0750
train_step 145	train_loss 1.0646	MSE 1.0646
train_step 146	train_loss 0.9204	MSE 0.9204
train_step 147	train_loss 1.4575	MSE 1.4575
train_step 148	train_loss 1.7313	MSE 1.7313
train_step 149	train_loss 1.7955	MSE 1.7955
train_step 150	train_loss 1.9423	MSE 1.9423
train_step 151	train_loss 2.3443	MSE 2.3443
train_step 152	train_loss 0.9927	MSE 0.9927
train_step 153	train_loss 1.6415	MSE 1.6415
train_step 154	train_loss 1.2294	MSE 1.2294
train_step 155	train_loss 1.1055	MSE 1.1055
train_step 156	train_loss 1.2195	MSE 1.2195
train_step 157	train_loss 1.4226	MSE 1.4226
train_step 158	train_loss 1.0395	MSE 1.0395
train_step 159	train_loss 1.0247	MSE 1.0247
train_step 160	train_loss 1.2384	MSE 1.2384
train_step 161	train_loss 1.2364	MSE 1.2364
train_step 162	train_loss 1.3497	MSE 1.3497
train_step 163	train_loss 1.3823	MSE 1.3823
train_step 164	train_loss 0.5792	MSE 0.5792
train_step 165	train_loss 0.6256	MSE 0.6256
train_step 166	train_loss 2.3667	MSE 2.3667
train_step 167	train_loss 5.2654	MSE 5.2654
train_step 168	train_loss 1.0409	MSE 1.0409
train_step 169	train_loss 1.1013	MSE 1.1013
train_step 170	train_loss 1.5448	MSE 1.5448
train_step 171	train_loss 11.4571	MSE 11.4571
train_step 172	train_loss 0.8641	MSE 0.8641
train_step 173	train_loss 1.8263	MSE 1.8263
train_step 174	train_loss 1.8377	MSE 1.8377
train_step 175	train_loss 1.4573	MSE 1.4573
train_step 176	train_loss 1.5283	MSE 1.5283
train_step 177	train_loss 1.5490	MSE 1.5490
train_step 178	train_loss 1.7902	MSE 1.7902
train_step 179	train_loss 1.2871	MSE 1.2871
train_step 180	train_loss 1.2396	MSE 1.2396
train_step 181	train_loss 0.5499	MSE 0.5499
train_step 182	train_loss 1.8397	MSE 1.8397
train_step 183	train_loss 1.3793	MSE 1.3793
train_step 184	train_loss 1.3235	MSE 1.3235
train_step 185	train_loss 0.7064	MSE 0.7064
train_step 186	train_loss 0.8821	MSE 0.8821
train_step 187	train_loss 1.9476	MSE 1.9476
train_step 188	train_loss 1.1359	MSE 1.1359
train_step 189	train_loss 0.7761	MSE 0.7761
train_step 190	train_loss 2.4277	MSE 2.4277
train_step 191	train_loss 1.4207	MSE 1.4207
train_step 192	train_loss 2.1384	MSE 2.1384
train_step 193	train_loss 0.7406	MSE 0.7406
train_step 194	train_loss 0.9747	MSE 0.9747
train_step 195	train_loss 1.1117	MSE 1.1117
train_step 196	train_loss 0.4055	MSE 0.4055
train_step 197	train_loss 1.0525	MSE 1.0525
train_step 198	train_loss 1.5161	MSE 1.5161
train_step 199	train_loss 1.7629	MSE 1.7629
train_step 200	train_loss 0.9227	MSE 0.9227
train_step 201	train_loss 8.8336	MSE 8.8336
train_step 202	train_loss 1.3753	MSE 1.3753
train_step 203	train_loss 1.2010	MSE 1.2010
train_step 204	train_loss 0.4809	MSE 0.4809
train_step 205	train_loss 1.0056	MSE 1.0056
train_step 206	train_loss 1.7280	MSE 1.7280
train_step 207	train_loss 1.6152	MSE 1.6152
train_step 208	train_loss 1.3700	MSE 1.3700
train_step 209	train_loss 1.3769	MSE 1.3769
train_step 210	train_loss 1.0321	MSE 1.0321
train_step 211	train_loss 1.5794	MSE 1.5794
train_step 212	train_loss 1.7839	MSE 1.7839
train_step 213	train_loss 0.4448	MSE 0.4448
train_step 214	train_loss 1.2572	MSE 1.2572
train_step 215	train_loss 2.3785	MSE 2.3785
train_step 216	train_loss 1.1948	MSE 1.1948
train_step 217	train_loss 0.8397	MSE 0.8397
train_step 218	train_loss 1.2054	MSE 1.2054
train_step 219	train_loss 1.5844	MSE 1.5844
train_step 220	train_loss 1.5676	MSE 1.5676
train_step 221	train_loss 4.0310	MSE 4.0310
train_step 222	train_loss 1.9760	MSE 1.9760
train_step 223	train_loss 2.0956	MSE 2.0956
train_step 224	train_loss 2.0954	MSE 2.0954
train_step 225	train_loss 1.9697	MSE 1.9697
train_step 226	train_loss 0.8077	MSE 0.8077
train_step 227	train_loss 0.6307	MSE 0.6307
train_step 228	train_loss 1.0798	MSE 1.0798
train_step 229	train_loss 3.2475	MSE 3.2475
train_step 230	train_loss 1.0226	MSE 1.0226
train_step 231	train_loss 1.1191	MSE 1.1191
train_step 232	train_loss 1.3206	MSE 1.3206
train_step 233	train_loss 0.8493	MSE 0.8493
train_step 234	train_loss 1.2531	MSE 1.2531
train_step 235	train_loss 1.0161	MSE 1.0161
train_step 236	train_loss 1.1416	MSE 1.1416
train_step 237	train_loss 1.7686	MSE 1.7686
train_step 238	train_loss 1.0013	MSE 1.0013
train_step 239	train_loss 0.5624	MSE 0.5624
train_step 240	train_loss 2.5100	MSE 2.5100
train_step 241	train_loss 0.8287	MSE 0.8287
train_step 242	train_loss 0.7434	MSE 0.7434
train_step 243	train_loss 1.4052	MSE 1.4052
train_step 244	train_loss 1.1538	MSE 1.1538
train_step 245	train_loss 2.6859	MSE 2.6859
train_step 246	train_loss 4.9462	MSE 4.9462
train_step 247	train_loss 0.8407	MSE 0.8407
train_step 248	train_loss 2.8796	MSE 2.8796
train_step 249	train_loss 0.6835	MSE 0.6835
train_step 250	train_loss 1.1567	MSE 1.1567
train_step 251	train_loss 1.5151	MSE 1.5151
train_step 252	train_loss 1.0520	MSE 1.0520
train_step 253	train_loss 0.5930	MSE 0.5930
train_step 254	train_loss 2.9271	MSE 2.9271
train_step 255	train_loss 1.4195	MSE 1.4195
train_step 256	train_loss 1.3360	MSE 1.3360
train_step 257	train_loss 0.5171	MSE 0.5171
train_step 258	train_loss 1.3879	MSE 1.3879
train_step 259	train_loss 3.7534	MSE 3.7534
train_step 260	train_loss 0.6135	MSE 0.6135
train_step 261	train_loss 0.6806	MSE 0.6806
train_step 262	train_loss 0.8211	MSE 0.8211
train_step 263	train_loss 1.8020	MSE 1.8020
train_step 264	train_loss 1.5128	MSE 1.5128
train_step 265	train_loss 0.9353	MSE 0.9353
