train_step 1	train_loss 4.2376	MSE 4.2376
train_step 2	train_loss 0.4801	MSE 0.4801
train_step 3	train_loss 0.9156	MSE 0.9156
train_step 4	train_loss 7.9360	MSE 7.9360
train_step 5	train_loss 0.7549	MSE 0.7549
train_step 6	train_loss 0.2676	MSE 0.2676
train_step 7	train_loss 1.4074	MSE 1.4074
train_step 8	train_loss 3.7030	MSE 3.7030
train_step 9	train_loss 0.0808	MSE 0.0808
train_step 10	train_loss 0.3704	MSE 0.3704
train_step 11	train_loss 0.6633	MSE 0.6633
train_step 12	train_loss 0.2724	MSE 0.2724
train_step 13	train_loss 2.6971	MSE 2.6971
train_step 14	train_loss 0.6601	MSE 0.6601
train_step 15	train_loss 1.4151	MSE 1.4151
train_step 16	train_loss 0.3431	MSE 0.3431
train_step 17	train_loss 2.4005	MSE 2.4005
train_step 18	train_loss 2.9460	MSE 2.9460
train_step 19	train_loss 0.5436	MSE 0.5436
train_step 20	train_loss 5.8287	MSE 5.8287
train_step 21	train_loss 1.3513	MSE 1.3513
train_step 22	train_loss 0.2782	MSE 0.2782
train_step 23	train_loss 0.8011	MSE 0.8011
train_step 24	train_loss 2.3919	MSE 2.3919
train_step 25	train_loss 1.3263	MSE 1.3263
train_step 26	train_loss 3.3573	MSE 3.3573
train_step 27	train_loss 3.0432	MSE 3.0432
train_step 28	train_loss 3.9340	MSE 3.9340
train_step 29	train_loss 1.5665	MSE 1.5665
train_step 30	train_loss 4.6075	MSE 4.6075
train_step 31	train_loss 0.7659	MSE 0.7659
train_step 32	train_loss 3.0156	MSE 3.0156
train_step 33	train_loss 3.3890	MSE 3.3890
train_step 34	train_loss 0.5443	MSE 0.5443
train_step 35	train_loss 0.4488	MSE 0.4488
train_step 36	train_loss 0.1188	MSE 0.1188
train_step 37	train_loss 3.6326	MSE 3.6326
train_step 38	train_loss 1.4443	MSE 1.4443
train_step 39	train_loss 0.1978	MSE 0.1978
train_step 40	train_loss 2.1097	MSE 2.1097
train_step 41	train_loss 0.0489	MSE 0.0489
train_step 42	train_loss 0.7586	MSE 0.7586
train_step 43	train_loss 1.2317	MSE 1.2317
train_step 44	train_loss 0.5593	MSE 0.5593
train_step 45	train_loss 2.2311	MSE 2.2311
train_step 46	train_loss 2.2435	MSE 2.2435
train_step 47	train_loss 0.3798	MSE 0.3798
train_step 48	train_loss 4.2317	MSE 4.2317
train_step 49	train_loss 0.3720	MSE 0.3720
train_step 50	train_loss 0.0510	MSE 0.0510
train_step 51	train_loss 2.0468	MSE 2.0468
train_step 52	train_loss 1.3845	MSE 1.3845
train_step 53	train_loss 5.7167	MSE 5.7167
train_step 54	train_loss 4.0770	MSE 4.0770
train_step 55	train_loss 0.5160	MSE 0.5160
train_step 56	train_loss 0.1930	MSE 0.1930
train_step 57	train_loss 0.4590	MSE 0.4590
train_step 58	train_loss 1.3962	MSE 1.3962
train_step 59	train_loss 6.3465	MSE 6.3465
train_step 60	train_loss 1.8164	MSE 1.8164
train_step 61	train_loss 2.2346	MSE 2.2346
train_step 62	train_loss 9.1596	MSE 9.1596
train_step 63	train_loss 1.3402	MSE 1.3402
train_step 64	train_loss 0.8694	MSE 0.8694
train_step 65	train_loss 2.5825	MSE 2.5825
train_step 66	train_loss 2.2469	MSE 2.2469
train_step 67	train_loss 4.7142	MSE 4.7142
train_step 68	train_loss 10.2285	MSE 10.2285
train_step 69	train_loss 1.1589	MSE 1.1589
train_step 70	train_loss 5.2602	MSE 5.2602
train_step 71	train_loss 1.0313	MSE 1.0313
train_step 72	train_loss 0.4280	MSE 0.4280
train_step 73	train_loss 0.8835	MSE 0.8835
train_step 74	train_loss 4.5854	MSE 4.5854
train_step 75	train_loss 0.9851	MSE 0.9851
train_step 76	train_loss 3.1433	MSE 3.1433
train_step 77	train_loss 1.4677	MSE 1.4677
train_step 78	train_loss 20.1381	MSE 20.1381
train_step 79	train_loss 0.9540	MSE 0.9540
train_step 80	train_loss 0.4273	MSE 0.4273
train_step 81	train_loss 1.4805	MSE 1.4805
train_step 82	train_loss 0.9495	MSE 0.9495
train_step 83	train_loss 1.6302	MSE 1.6302
train_step 84	train_loss 0.9173	MSE 0.9173
train_step 85	train_loss 0.5423	MSE 0.5423
train_step 86	train_loss 0.1103	MSE 0.1103
train_step 87	train_loss 1.2748	MSE 1.2748
train_step 88	train_loss 0.8272	MSE 0.8272
train_step 89	train_loss 1.8992	MSE 1.8992
train_step 90	train_loss 0.1275	MSE 0.1275
train_step 91	train_loss 3.0118	MSE 3.0118
train_step 92	train_loss 0.9901	MSE 0.9901
train_step 93	train_loss 2.4507	MSE 2.4507
train_step 94	train_loss 0.3115	MSE 0.3115
train_step 95	train_loss 3.0825	MSE 3.0825
train_step 96	train_loss 0.1278	MSE 0.1278
train_step 97	train_loss 44.3546	MSE 44.3546
train_step 98	train_loss 0.2676	MSE 0.2676
train_step 99	train_loss 0.7456	MSE 0.7456
train_step 100	train_loss 0.0970	MSE 0.0970
train_step 101	train_loss 1.3678	MSE 1.3678
train_step 102	train_loss 4.3929	MSE 4.3929
train_step 103	train_loss 1.2444	MSE 1.2444
train_step 104	train_loss 0.4459	MSE 0.4459
train_step 105	train_loss 0.0600	MSE 0.0600
train_step 106	train_loss 0.4608	MSE 0.4608
train_step 107	train_loss 7.0030	MSE 7.0030
train_step 108	train_loss 0.6544	MSE 0.6544
train_step 109	train_loss 1.6135	MSE 1.6135
train_step 110	train_loss 8.2814	MSE 8.2814
train_step 111	train_loss 1.5334	MSE 1.5334
train_step 112	train_loss 5.7404	MSE 5.7404
train_step 113	train_loss 4.8926	MSE 4.8926
train_step 114	train_loss 1.6263	MSE 1.6263
train_step 115	train_loss 1.0701	MSE 1.0701
train_step 116	train_loss 1.9751	MSE 1.9751
train_step 117	train_loss 0.1436	MSE 0.1436
train_step 118	train_loss 0.6291	MSE 0.6291
train_step 119	train_loss 0.9588	MSE 0.9588
train_step 120	train_loss 0.6928	MSE 0.6928
train_step 121	train_loss 0.9291	MSE 0.9291
train_step 122	train_loss 5.5223	MSE 5.5223
train_step 123	train_loss 0.2792	MSE 0.2792
train_step 124	train_loss 2.7733	MSE 2.7733
train_step 125	train_loss 0.5613	MSE 0.5613
train_step 126	train_loss 0.0658	MSE 0.0658
train_step 127	train_loss 2.5441	MSE 2.5441
train_step 128	train_loss 0.3402	MSE 0.3402
train_step 129	train_loss 0.7717	MSE 0.7717
train_step 130	train_loss 1.6722	MSE 1.6722
train_step 131	train_loss 2.2888	MSE 2.2888
train_step 132	train_loss 0.4113	MSE 0.4113
train_step 133	train_loss 3.8391	MSE 3.8391
train_step 134	train_loss 0.2591	MSE 0.2591
train_step 135	train_loss 1.9668	MSE 1.9668
train_step 136	train_loss 1.3841	MSE 1.3841
