train_step 129	train_loss 2.6806	MSE 2.6806
train_step 130	train_loss 13.1196	MSE 13.1196
train_step 131	train_loss 4.1460	MSE 4.1460
train_step 132	train_loss 2.2781	MSE 2.2781
train_step 133	train_loss 1.4643	MSE 1.4643
train_step 134	train_loss 1.0558	MSE 1.0558
train_step 135	train_loss 8.7773	MSE 8.7773
train_step 136	train_loss 10.1866	MSE 10.1866
train_step 137	train_loss 0.1068	MSE 0.1068
train_step 138	train_loss 9.8434	MSE 9.8434
train_step 139	train_loss 7.7554	MSE 7.7554
train_step 140	train_loss 2.3353	MSE 2.3353
train_step 141	train_loss 11.0524	MSE 11.0524
train_step 142	train_loss 6.6682	MSE 6.6682
train_step 143	train_loss 10.4188	MSE 10.4188
train_step 144	train_loss 10.2646	MSE 10.2646
train_step 145	train_loss 0.4555	MSE 0.4555
train_step 146	train_loss 0.3575	MSE 0.3575
train_step 147	train_loss 5.7307	MSE 5.7307
train_step 148	train_loss 9.0021	MSE 9.0021
train_step 149	train_loss 16.0270	MSE 16.0270
train_step 150	train_loss 12.9612	MSE 12.9612
train_step 151	train_loss 0.4580	MSE 0.4580
train_step 152	train_loss 2.5937	MSE 2.5937
train_step 153	train_loss 3.5160	MSE 3.5160
train_step 154	train_loss 0.7230	MSE 0.7230
train_step 155	train_loss 0.9748	MSE 0.9748
train_step 156	train_loss 2.8955	MSE 2.8955
train_step 157	train_loss 12.7188	MSE 12.7188
train_step 158	train_loss 0.8018	MSE 0.8018
train_step 159	train_loss 2.7752	MSE 2.7752
train_step 160	train_loss 15.4773	MSE 15.4773
train_step 161	train_loss 1.1562	MSE 1.1562
train_step 162	train_loss 8.1047	MSE 8.1047
train_step 163	train_loss 0.7264	MSE 0.7264
train_step 164	train_loss 0.7949	MSE 0.7949
train_step 165	train_loss 2.4826	MSE 2.4826
train_step 166	train_loss 4.5055	MSE 4.5055
train_step 167	train_loss 0.4785	MSE 0.4785
train_step 168	train_loss 4.0819	MSE 4.0819
train_step 169	train_loss 2.5303	MSE 2.5303
train_step 170	train_loss 4.8524	MSE 4.8524
train_step 171	train_loss 2.1121	MSE 2.1121
train_step 172	train_loss 1.8428	MSE 1.8428
train_step 173	train_loss 1.3576	MSE 1.3576
train_step 174	train_loss 1.4839	MSE 1.4839
train_step 175	train_loss 0.1722	MSE 0.1722
train_step 176	train_loss 5.7800	MSE 5.7800
train_step 177	train_loss 3.5932	MSE 3.5932
train_step 178	train_loss 0.2101	MSE 0.2101
train_step 179	train_loss 1.2120	MSE 1.2120
train_step 180	train_loss 11.4656	MSE 11.4656
train_step 181	train_loss 1.0238	MSE 1.0238
train_step 182	train_loss 0.0884	MSE 0.0884
train_step 183	train_loss 0.3701	MSE 0.3701
train_step 184	train_loss 0.3846	MSE 0.3846
train_step 185	train_loss 0.2865	MSE 0.2865
train_step 186	train_loss 1.7586	MSE 1.7586
train_step 187	train_loss 1.0254	MSE 1.0254
train_step 188	train_loss 2.0638	MSE 2.0638
train_step 189	train_loss 6.3572	MSE 6.3572
train_step 190	train_loss 0.8604	MSE 0.8604
train_step 191	train_loss 0.6631	MSE 0.6631
train_step 192	train_loss 9.0072	MSE 9.0072
train_step 193	train_loss 7.3383	MSE 7.3383
train_step 194	train_loss 4.4954	MSE 4.4954
train_step 195	train_loss 0.3541	MSE 0.3541
train_step 196	train_loss 1.1734	MSE 1.1734
train_step 197	train_loss 0.5163	MSE 0.5163
train_step 198	train_loss 0.1676	MSE 0.1676
train_step 199	train_loss 0.3368	MSE 0.3368
train_step 200	train_loss 8.5073	MSE 8.5073
train_step 201	train_loss 0.7388	MSE 0.7388
train_step 202	train_loss 7.9745	MSE 7.9745
train_step 203	train_loss 2.4047	MSE 2.4047
train_step 204	train_loss 0.5708	MSE 0.5708
train_step 205	train_loss 17.6701	MSE 17.6701
train_step 206	train_loss 4.2134	MSE 4.2134
train_step 207	train_loss 7.6667	MSE 7.6667
train_step 208	train_loss 0.2288	MSE 0.2288
train_step 209	train_loss 2.8923	MSE 2.8923
train_step 210	train_loss 0.2396	MSE 0.2396
train_step 211	train_loss 1.1352	MSE 1.1352
train_step 212	train_loss 0.2377	MSE 0.2377
train_step 213	train_loss 0.8097	MSE 0.8097
train_step 214	train_loss 1.0482	MSE 1.0482
train_step 215	train_loss 12.4629	MSE 12.4629
train_step 216	train_loss 4.4882	MSE 4.4882
train_step 217	train_loss 4.1485	MSE 4.1485
train_step 218	train_loss 2.8932	MSE 2.8932
train_step 219	train_loss 7.6794	MSE 7.6794
train_step 220	train_loss 4.2725	MSE 4.2725
train_step 221	train_loss 4.4278	MSE 4.4278
train_step 222	train_loss 0.3242	MSE 0.3242
train_step 223	train_loss 0.2594	MSE 0.2594
train_step 224	train_loss 29.3030	MSE 29.3030
train_step 225	train_loss 3.0659	MSE 3.0659
train_step 226	train_loss 1.5835	MSE 1.5835
train_step 227	train_loss 34.2251	MSE 34.2251
train_step 228	train_loss 4.0485	MSE 4.0485
train_step 229	train_loss 40.5286	MSE 40.5286
train_step 230	train_loss 118.6745	MSE 118.6745
train_step 231	train_loss 3.5906	MSE 3.5906
train_step 232	train_loss 1.6059	MSE 1.6059
train_step 233	train_loss 0.9380	MSE 0.9380
train_step 234	train_loss 0.3082	MSE 0.3082
train_step 235	train_loss 3.9959	MSE 3.9959
train_step 236	train_loss 9.2365	MSE 9.2365
train_step 237	train_loss 0.6633	MSE 0.6633
train_step 238	train_loss 0.3882	MSE 0.3882
train_step 239	train_loss 0.2863	MSE 0.2863
train_step 240	train_loss 1.1036	MSE 1.1036
train_step 241	train_loss 0.7872	MSE 0.7872
train_step 242	train_loss 1.0432	MSE 1.0432
train_step 243	train_loss 3.5783	MSE 3.5783
train_step 244	train_loss 1.2796	MSE 1.2796
train_step 245	train_loss 7.2096	MSE 7.2096
train_step 246	train_loss 5.3117	MSE 5.3117
train_step 247	train_loss 0.8279	MSE 0.8279
train_step 248	train_loss 7.7243	MSE 7.7243
train_step 249	train_loss 2.4428	MSE 2.4428
train_step 250	train_loss 18.3682	MSE 18.3682
train_step 251	train_loss 20.1288	MSE 20.1288
train_step 252	train_loss 3.4407	MSE 3.4407
train_step 253	train_loss 0.7598	MSE 0.7598
train_step 254	train_loss 2.0564	MSE 2.0564
train_step 255	train_loss 0.8384	MSE 0.8384
train_step 256	train_loss 2.7635	MSE 2.7635
train_step 257	train_loss 6.4160	MSE 6.4160
train_step 258	train_loss 0.1949	MSE 0.1949
train_step 259	train_loss 5.2607	MSE 5.2607
train_step 260	train_loss 0.3649	MSE 0.3649
train_step 261	train_loss 3.0198	MSE 3.0198
train_step 262	train_loss 1.5299	MSE 1.5299
train_step 263	train_loss 0.6201	MSE 0.6201
train_step 264	train_loss 165.7302	MSE 165.7302
train_step 265	train_loss 1.4346	MSE 1.4346
train_step 266	train_loss 28.8660	MSE 28.8660
train_step 267	train_loss 2.5388	MSE 2.5388
train_step 268	train_loss 1.4009	MSE 1.4009
train_step 269	train_loss 3.5237	MSE 3.5237
train_step 270	train_loss 0.8602	MSE 0.8602
train_step 271	train_loss 9.6568	MSE 9.6568
train_step 272	train_loss 13.5474	MSE 13.5474
train_step 273	train_loss 1.9257	MSE 1.9257
train_step 274	train_loss 0.7154	MSE 0.7154
