train_step 129	train_loss 0.4202	MSE 0.4202
train_step 130	train_loss 0.8792	MSE 0.8792
train_step 131	train_loss 2.1088	MSE 2.1088
train_step 132	train_loss 1.7053	MSE 1.7053
train_step 133	train_loss 0.2867	MSE 0.2867
train_step 134	train_loss 1.0016	MSE 1.0016
train_step 135	train_loss 0.4816	MSE 0.4816
train_step 136	train_loss 3.1399	MSE 3.1399
train_step 137	train_loss 19.4354	MSE 19.4354
train_step 138	train_loss 1.7932	MSE 1.7932
train_step 139	train_loss 5.8537	MSE 5.8537
train_step 140	train_loss 0.1690	MSE 0.1690
train_step 141	train_loss 1.1460	MSE 1.1460
train_step 142	train_loss 2.0534	MSE 2.0534
train_step 143	train_loss 2.2300	MSE 2.2300
train_step 144	train_loss 2.2130	MSE 2.2130
train_step 145	train_loss 2.3890	MSE 2.3890
train_step 146	train_loss 0.7881	MSE 0.7881
train_step 147	train_loss 2.1507	MSE 2.1507
train_step 148	train_loss 0.7063	MSE 0.7063
train_step 149	train_loss 0.5270	MSE 0.5270
train_step 150	train_loss 0.1120	MSE 0.1120
train_step 151	train_loss 1.2031	MSE 1.2031
train_step 152	train_loss 24.1713	MSE 24.1713
train_step 153	train_loss 1.2522	MSE 1.2522
train_step 154	train_loss 3.6677	MSE 3.6677
train_step 155	train_loss 1.4578	MSE 1.4578
train_step 156	train_loss 1.2043	MSE 1.2043
train_step 157	train_loss 0.8874	MSE 0.8874
train_step 158	train_loss 11.2533	MSE 11.2533
train_step 159	train_loss 3.0834	MSE 3.0834
train_step 160	train_loss 1.0101	MSE 1.0101
train_step 161	train_loss 2.2452	MSE 2.2452
train_step 162	train_loss 3.6566	MSE 3.6566
train_step 163	train_loss 0.1883	MSE 0.1883
train_step 164	train_loss 1.3448	MSE 1.3448
train_step 165	train_loss 1.7576	MSE 1.7576
train_step 166	train_loss 0.5245	MSE 0.5245
train_step 167	train_loss 0.5117	MSE 0.5117
train_step 168	train_loss 3.4597	MSE 3.4597
train_step 169	train_loss 0.0064	MSE 0.0064
train_step 170	train_loss 2.1984	MSE 2.1984
train_step 171	train_loss 0.3740	MSE 0.3740
train_step 172	train_loss 4.1874	MSE 4.1874
train_step 173	train_loss 0.6578	MSE 0.6578
train_step 174	train_loss 1.4551	MSE 1.4551
train_step 175	train_loss 1.6963	MSE 1.6963
train_step 176	train_loss 2.8174	MSE 2.8174
train_step 177	train_loss 1.3150	MSE 1.3150
train_step 178	train_loss 0.1351	MSE 0.1351
train_step 179	train_loss 0.3724	MSE 0.3724
train_step 180	train_loss 0.3763	MSE 0.3763
train_step 181	train_loss 0.4025	MSE 0.4025
train_step 182	train_loss 2.5182	MSE 2.5182
train_step 183	train_loss 1.1378	MSE 1.1378
train_step 184	train_loss 0.8490	MSE 0.8490
train_step 185	train_loss 3.3257	MSE 3.3257
train_step 186	train_loss 0.7638	MSE 0.7638
train_step 187	train_loss 1.6806	MSE 1.6806
train_step 188	train_loss 0.2602	MSE 0.2602
train_step 189	train_loss 0.1820	MSE 0.1820
train_step 190	train_loss 0.0205	MSE 0.0205
train_step 191	train_loss 2.9373	MSE 2.9373
train_step 192	train_loss 0.8771	MSE 0.8771
train_step 193	train_loss 0.0902	MSE 0.0902
train_step 194	train_loss 1.1254	MSE 1.1254
train_step 195	train_loss 1.1263	MSE 1.1263
