train_step 129	train_loss 0.2567	MSE 0.2567
train_step 130	train_loss 1.7869	MSE 1.7869
train_step 131	train_loss 0.7098	MSE 0.7098
train_step 132	train_loss 0.5481	MSE 0.5481
train_step 133	train_loss 21.4500	MSE 21.4500
train_step 134	train_loss 1.4594	MSE 1.4594
train_step 135	train_loss 1.0533	MSE 1.0533
train_step 136	train_loss 0.4195	MSE 0.4195
train_step 137	train_loss 0.7343	MSE 0.7343
train_step 138	train_loss 0.2190	MSE 0.2190
train_step 139	train_loss 13.6062	MSE 13.6062
train_step 140	train_loss 0.2351	MSE 0.2351
train_step 141	train_loss 1.9028	MSE 1.9028
train_step 142	train_loss 1.4230	MSE 1.4230
train_step 143	train_loss 0.9437	MSE 0.9437
train_step 144	train_loss 1.0539	MSE 1.0539
train_step 145	train_loss 0.4277	MSE 0.4277
train_step 146	train_loss 1.0434	MSE 1.0434
train_step 147	train_loss 1.1298	MSE 1.1298
train_step 148	train_loss 6.8094	MSE 6.8094
train_step 149	train_loss 0.6815	MSE 0.6815
train_step 150	train_loss 0.7804	MSE 0.7804
train_step 151	train_loss 0.3872	MSE 0.3872
train_step 152	train_loss 3.3108	MSE 3.3108
train_step 153	train_loss 1.7038	MSE 1.7038
train_step 154	train_loss 45.9142	MSE 45.9142
train_step 155	train_loss 0.4396	MSE 0.4396
train_step 156	train_loss 27.9548	MSE 27.9548
train_step 157	train_loss 9.3826	MSE 9.3826
train_step 158	train_loss 0.9652	MSE 0.9652
train_step 159	train_loss 7.9420	MSE 7.9420
train_step 160	train_loss 7.8157	MSE 7.8157
train_step 161	train_loss 8.6960	MSE 8.6960
train_step 162	train_loss 13.1150	MSE 13.1150
train_step 163	train_loss 0.3038	MSE 0.3038
train_step 164	train_loss 2.2314	MSE 2.2314
train_step 165	train_loss 0.1067	MSE 0.1067
train_step 166	train_loss 29.1234	MSE 29.1234
train_step 167	train_loss 17.8081	MSE 17.8081
train_step 168	train_loss 19.9758	MSE 19.9758
train_step 169	train_loss 0.4099	MSE 0.4099
train_step 170	train_loss 33.2795	MSE 33.2795
train_step 171	train_loss 136.6733	MSE 136.6733
train_step 172	train_loss 3.6277	MSE 3.6277
train_step 173	train_loss 0.4209	MSE 0.4209
train_step 174	train_loss 38.8873	MSE 38.8873
train_step 175	train_loss 0.8322	MSE 0.8322
train_step 176	train_loss 28.7152	MSE 28.7152
train_step 177	train_loss 11.2234	MSE 11.2234
train_step 178	train_loss 5.4161	MSE 5.4161
train_step 179	train_loss 0.6501	MSE 0.6501
train_step 180	train_loss 25.1058	MSE 25.1058
train_step 181	train_loss 6.1449	MSE 6.1449
train_step 182	train_loss 13.1572	MSE 13.1572
train_step 183	train_loss 22.5015	MSE 22.5015
train_step 184	train_loss 2.2860	MSE 2.2860
train_step 185	train_loss 5.8894	MSE 5.8894
train_step 186	train_loss 3.9823	MSE 3.9823
train_step 187	train_loss 1.9573	MSE 1.9573
train_step 188	train_loss 4.1428	MSE 4.1428
train_step 189	train_loss 1.1843	MSE 1.1843
train_step 190	train_loss 8.3470	MSE 8.3470
train_step 191	train_loss 0.3534	MSE 0.3534
train_step 192	train_loss 0.9188	MSE 0.9188
train_step 193	train_loss 12.9740	MSE 12.9740
train_step 194	train_loss 2.0219	MSE 2.0219
train_step 195	train_loss 1.3911	MSE 1.3911
train_step 196	train_loss 2.9264	MSE 2.9264
train_step 197	train_loss 332.4640	MSE 332.4640
train_step 198	train_loss 201.1869	MSE 201.1869
train_step 199	train_loss 3.4080	MSE 3.4080
train_step 200	train_loss 2.7744	MSE 2.7744
train_step 201	train_loss 1.5984	MSE 1.5984
train_step 202	train_loss 6.4002	MSE 6.4002
train_step 203	train_loss 0.3822	MSE 0.3822
train_step 204	train_loss 0.8374	MSE 0.8374
train_step 205	train_loss 0.7252	MSE 0.7252
train_step 206	train_loss 3.6397	MSE 3.6397
train_step 207	train_loss 2.9156	MSE 2.9156
train_step 208	train_loss 0.1840	MSE 0.1840
train_step 209	train_loss 0.7234	MSE 0.7234
train_step 210	train_loss 6.3807	MSE 6.3807
train_step 211	train_loss 1.5252	MSE 1.5252
train_step 212	train_loss 3.5175	MSE 3.5175
train_step 213	train_loss 1.7875	MSE 1.7875
train_step 214	train_loss 1.4234	MSE 1.4234
train_step 215	train_loss 0.4861	MSE 0.4861
train_step 216	train_loss 0.5962	MSE 0.5962
train_step 217	train_loss 58.6117	MSE 58.6117
train_step 218	train_loss 7.7603	MSE 7.7603
train_step 219	train_loss 3.7272	MSE 3.7272
train_step 220	train_loss 0.3118	MSE 0.3118
train_step 221	train_loss 0.3365	MSE 0.3365
train_step 222	train_loss 2.5262	MSE 2.5262
train_step 223	train_loss 1.2141	MSE 1.2141
train_step 224	train_loss 2.2054	MSE 2.2054
train_step 225	train_loss 0.2940	MSE 0.2940
train_step 226	train_loss 0.0893	MSE 0.0893
train_step 227	train_loss 0.2091	MSE 0.2091
train_step 228	train_loss 1.9818	MSE 1.9818
train_step 229	train_loss 15.4764	MSE 15.4764
train_step 230	train_loss 7.9172	MSE 7.9172
train_step 231	train_loss 45.9123	MSE 45.9123
train_step 232	train_loss 1.3024	MSE 1.3024
train_step 233	train_loss 0.6085	MSE 0.6085
train_step 234	train_loss 0.2328	MSE 0.2328
train_step 235	train_loss 1.2048	MSE 1.2048
train_step 236	train_loss 22.8167	MSE 22.8167
train_step 237	train_loss 0.2682	MSE 0.2682
train_step 238	train_loss 11.4062	MSE 11.4062
train_step 239	train_loss 6.5743	MSE 6.5743
train_step 240	train_loss 6.2354	MSE 6.2354
train_step 241	train_loss 1.7856	MSE 1.7856
train_step 242	train_loss 5.1803	MSE 5.1803
train_step 243	train_loss 0.8325	MSE 0.8325
train_step 244	train_loss 0.6262	MSE 0.6262
train_step 245	train_loss 0.5880	MSE 0.5880
train_step 246	train_loss 1.5228	MSE 1.5228
train_step 247	train_loss 21.8438	MSE 21.8438
train_step 248	train_loss 0.1146	MSE 0.1146
train_step 249	train_loss 1.4662	MSE 1.4662
train_step 250	train_loss 4.4366	MSE 4.4366
train_step 251	train_loss 3.7830	MSE 3.7830
train_step 252	train_loss 2.3135	MSE 2.3135
train_step 253	train_loss 1.6179	MSE 1.6179
train_step 254	train_loss 17.0555	MSE 17.0555
train_step 255	train_loss 10.9360	MSE 10.9360
train_step 256	train_loss 4.0388	MSE 4.0388
train_step 257	train_loss 2.5813	MSE 2.5813
train_step 258	train_loss 225.8475	MSE 225.8475
train_step 259	train_loss 0.5904	MSE 0.5904
train_step 260	train_loss 7.9775	MSE 7.9775
train_step 261	train_loss 1.4081	MSE 1.4081
train_step 262	train_loss 0.4715	MSE 0.4715
train_step 263	train_loss 8.4827	MSE 8.4827
train_step 264	train_loss 46.9452	MSE 46.9452
train_step 265	train_loss 2.8612	MSE 2.8612
train_step 266	train_loss 14.5468	MSE 14.5468
train_step 267	train_loss 166.6126	MSE 166.6126
train_step 268	train_loss 4.1194	MSE 4.1194
train_step 269	train_loss 1.2336	MSE 1.2336
train_step 270	train_loss 1.8307	MSE 1.8307
train_step 271	train_loss 2.4751	MSE 2.4751
train_step 272	train_loss 3.8590	MSE 3.8590
train_step 273	train_loss 87.7691	MSE 87.7691
train_step 274	train_loss 9.4673	MSE 9.4673
train_step 275	train_loss 3.0530	MSE 3.0530
train_step 276	train_loss 3.4712	MSE 3.4712
train_step 277	train_loss 10.5969	MSE 10.5969
train_step 278	train_loss 0.6932	MSE 0.6932
train_step 279	train_loss 3.9333	MSE 3.9333
train_step 280	train_loss 3.8398	MSE 3.8398
train_step 281	train_loss 0.7625	MSE 0.7625
train_step 282	train_loss 0.1370	MSE 0.1370
train_step 283	train_loss 5.8230	MSE 5.8230
train_step 284	train_loss 0.3232	MSE 0.3232
train_step 285	train_loss 17.0003	MSE 17.0003
train_step 286	train_loss 44.2744	MSE 44.2744
train_step 287	train_loss 2.7866	MSE 2.7866
train_step 288	train_loss 1.5966	MSE 1.5966
train_step 289	train_loss 3.7905	MSE 3.7905
train_step 290	train_loss 1.7143	MSE 1.7143
train_step 291	train_loss 3.9158	MSE 3.9158
train_step 292	train_loss 1.3987	MSE 1.3987
train_step 293	train_loss 1.5065	MSE 1.5065
train_step 294	train_loss 8.2427	MSE 8.2427
train_step 295	train_loss 24.9726	MSE 24.9726
train_step 296	train_loss 0.5219	MSE 0.5219
train_step 297	train_loss 18.4334	MSE 18.4334
train_step 298	train_loss 134.3631	MSE 134.3631
train_step 299	train_loss 1.4849	MSE 1.4849
train_step 300	train_loss 0.1597	MSE 0.1597
train_step 301	train_loss 0.2188	MSE 0.2188
train_step 302	train_loss 0.9898	MSE 0.9898
train_step 303	train_loss 0.5666	MSE 0.5666
train_step 304	train_loss 4.4974	MSE 4.4974
train_step 305	train_loss 53.5931	MSE 53.5931
train_step 306	train_loss 22.9776	MSE 22.9776
train_step 307	train_loss 3.4878	MSE 3.4878
train_step 308	train_loss 0.2173	MSE 0.2173
train_step 309	train_loss 0.3328	MSE 0.3328
train_step 310	train_loss 16.0808	MSE 16.0808
train_step 311	train_loss 1.1211	MSE 1.1211
train_step 312	train_loss 27.3587	MSE 27.3587
train_step 313	train_loss 0.7581	MSE 0.7581
train_step 314	train_loss 5.5155	MSE 5.5155
train_step 315	train_loss 1.2683	MSE 1.2683
train_step 316	train_loss 1.4467	MSE 1.4467
train_step 317	train_loss 54.6858	MSE 54.6858
train_step 318	train_loss 38.8809	MSE 38.8809
train_step 319	train_loss 0.2388	MSE 0.2388
train_step 320	train_loss 1.7677	MSE 1.7677
train_step 321	train_loss 4.3930	MSE 4.3930
train_step 322	train_loss 1.1783	MSE 1.1783
train_step 323	train_loss 18.8053	MSE 18.8053
train_step 324	train_loss 0.3838	MSE 0.3838
train_step 325	train_loss 29.0796	MSE 29.0796
train_step 326	train_loss 1.4428	MSE 1.4428
train_step 327	train_loss 8.7866	MSE 8.7866
train_step 328	train_loss 6.0238	MSE 6.0238
train_step 329	train_loss 2.0602	MSE 2.0602
train_step 330	train_loss 0.9622	MSE 0.9622
train_step 331	train_loss 7.5208	MSE 7.5208
train_step 332	train_loss 4.5862	MSE 4.5862
train_step 333	train_loss 2.2700	MSE 2.2700
train_step 334	train_loss 1.0608	MSE 1.0608
train_step 335	train_loss 7.9514	MSE 7.9514
train_step 336	train_loss 1.9523	MSE 1.9523
train_step 337	train_loss 1.4860	MSE 1.4860
train_step 338	train_loss 5.3958	MSE 5.3958
train_step 339	train_loss 35.1339	MSE 35.1339
train_step 340	train_loss 2.3614	MSE 2.3614
train_step 341	train_loss 1.3645	MSE 1.3645
train_step 342	train_loss 75.7742	MSE 75.7742
train_step 343	train_loss 2.7902	MSE 2.7902
train_step 344	train_loss 0.7532	MSE 0.7532
train_step 345	train_loss 1.3780	MSE 1.3780
train_step 346	train_loss 1.1037	MSE 1.1037
train_step 347	train_loss 169.1739	MSE 169.1739
train_step 348	train_loss 0.2205	MSE 0.2205
train_step 349	train_loss 0.5006	MSE 0.5006
train_step 350	train_loss 1.2182	MSE 1.2182
train_step 351	train_loss 51.0492	MSE 51.0492
train_step 352	train_loss 1.5910	MSE 1.5910
train_step 353	train_loss 6.7266	MSE 6.7266
train_step 354	train_loss 5.9554	MSE 5.9554
train_step 355	train_loss 0.6855	MSE 0.6855
train_step 356	train_loss 1.2150	MSE 1.2150
train_step 357	train_loss 1.2802	MSE 1.2802
train_step 358	train_loss 75.5345	MSE 75.5345
train_step 359	train_loss 0.9686	MSE 0.9686
train_step 360	train_loss 2.7517	MSE 2.7517
train_step 361	train_loss 2.3238	MSE 2.3238
train_step 362	train_loss 4.3706	MSE 4.3706
train_step 363	train_loss 6.9353	MSE 6.9353
train_step 364	train_loss 2.9581	MSE 2.9581
train_step 365	train_loss 0.2462	MSE 0.2462
train_step 366	train_loss 75.5380	MSE 75.5380
train_step 367	train_loss 4.5139	MSE 4.5139
train_step 368	train_loss 0.4649	MSE 0.4649
train_step 369	train_loss 0.1431	MSE 0.1431
train_step 370	train_loss 1.5024	MSE 1.5024
train_step 371	train_loss 2.8444	MSE 2.8444
train_step 372	train_loss 0.3955	MSE 0.3955
train_step 373	train_loss 1.9972	MSE 1.9972
