train_step 129	train_loss 0.4687	MSE 0.4687
train_step 130	train_loss 2.2571	MSE 2.2571
train_step 131	train_loss 0.9411	MSE 0.9411
train_step 132	train_loss 9.9562	MSE 9.9562
train_step 133	train_loss 4.8210	MSE 4.8210
train_step 134	train_loss 1.0201	MSE 1.0201
train_step 135	train_loss 0.8932	MSE 0.8932
train_step 136	train_loss 1.9515	MSE 1.9515
train_step 137	train_loss 0.5304	MSE 0.5304
train_step 138	train_loss 0.8426	MSE 0.8426
train_step 139	train_loss 1.3411	MSE 1.3411
train_step 140	train_loss 2.6084	MSE 2.6084
train_step 141	train_loss 4.3318	MSE 4.3318
train_step 142	train_loss 3.4475	MSE 3.4475
train_step 143	train_loss 1.3451	MSE 1.3451
train_step 144	train_loss 1.4544	MSE 1.4544
train_step 145	train_loss 0.5399	MSE 0.5399
train_step 146	train_loss 12.6145	MSE 12.6145
train_step 147	train_loss 4.1471	MSE 4.1471
train_step 148	train_loss 1.7885	MSE 1.7885
train_step 149	train_loss 5.9202	MSE 5.9202
train_step 150	train_loss 0.2802	MSE 0.2802
train_step 151	train_loss 0.5465	MSE 0.5465
train_step 152	train_loss 3.5219	MSE 3.5219
train_step 153	train_loss 0.1128	MSE 0.1128
train_step 154	train_loss 0.6326	MSE 0.6326
train_step 155	train_loss 1.9715	MSE 1.9715
train_step 156	train_loss 0.5919	MSE 0.5919
train_step 157	train_loss 1.0621	MSE 1.0621
train_step 158	train_loss 0.9721	MSE 0.9721
train_step 159	train_loss 1.0400	MSE 1.0400
train_step 160	train_loss 0.1341	MSE 0.1341
train_step 161	train_loss 0.9541	MSE 0.9541
train_step 162	train_loss 2.2786	MSE 2.2786
train_step 163	train_loss 0.9270	MSE 0.9270
train_step 164	train_loss 0.5410	MSE 0.5410
train_step 165	train_loss 0.2852	MSE 0.2852
train_step 166	train_loss 1.1431	MSE 1.1431
train_step 167	train_loss 1.0816	MSE 1.0816
train_step 168	train_loss 1.3880	MSE 1.3880
train_step 169	train_loss 1.0374	MSE 1.0374
train_step 170	train_loss 7.2416	MSE 7.2416
train_step 171	train_loss 1.5445	MSE 1.5445
train_step 172	train_loss 0.3675	MSE 0.3675
train_step 173	train_loss 4.0389	MSE 4.0389
train_step 174	train_loss 0.5394	MSE 0.5394
train_step 175	train_loss 0.2043	MSE 0.2043
train_step 176	train_loss 14.8266	MSE 14.8266
train_step 177	train_loss 0.7755	MSE 0.7755
train_step 178	train_loss 3.4414	MSE 3.4414
train_step 179	train_loss 0.4573	MSE 0.4573
train_step 180	train_loss 0.8020	MSE 0.8020
train_step 181	train_loss 3.3654	MSE 3.3654
train_step 182	train_loss 0.3992	MSE 0.3992
train_step 183	train_loss 3.6226	MSE 3.6226
train_step 184	train_loss 5.7440	MSE 5.7440
train_step 185	train_loss 0.2912	MSE 0.2912
train_step 186	train_loss 0.8739	MSE 0.8739
train_step 187	train_loss 3.3526	MSE 3.3526
train_step 188	train_loss 4.3519	MSE 4.3519
train_step 189	train_loss 0.4075	MSE 0.4075
train_step 190	train_loss 0.3503	MSE 0.3503
train_step 191	train_loss 0.9004	MSE 0.9004
train_step 192	train_loss 11.0124	MSE 11.0124
