train_step 1	train_loss 2.0755	MSE 2.0755
train_step 2	train_loss 0.3893	MSE 0.3893
train_step 3	train_loss 0.5865	MSE 0.5865
train_step 4	train_loss 2.9818	MSE 2.9818
train_step 5	train_loss 4.9115	MSE 4.9115
train_step 6	train_loss 1.8167	MSE 1.8167
train_step 7	train_loss 2.1381	MSE 2.1381
train_step 8	train_loss 4.2485	MSE 4.2485
train_step 9	train_loss 3.4128	MSE 3.4128
train_step 10	train_loss 0.3026	MSE 0.3026
train_step 11	train_loss 1.2755	MSE 1.2755
train_step 12	train_loss 0.2207	MSE 0.2207
train_step 13	train_loss 2.1951	MSE 2.1951
train_step 14	train_loss 2.7837	MSE 2.7837
train_step 15	train_loss 1.5559	MSE 1.5559
train_step 16	train_loss 0.1670	MSE 0.1670
train_step 17	train_loss 0.9968	MSE 0.9968
train_step 18	train_loss 4.0185	MSE 4.0185
train_step 19	train_loss 0.4380	MSE 0.4380
train_step 20	train_loss 3.1765	MSE 3.1765
train_step 21	train_loss 3.1523	MSE 3.1523
train_step 22	train_loss 0.1833	MSE 0.1833
train_step 23	train_loss 0.0558	MSE 0.0558
train_step 24	train_loss 0.0756	MSE 0.0756
train_step 25	train_loss 1.6920	MSE 1.6920
train_step 26	train_loss 0.1598	MSE 0.1598
train_step 27	train_loss 2.5108	MSE 2.5108
train_step 28	train_loss 1.6701	MSE 1.6701
train_step 29	train_loss 4.9191	MSE 4.9191
train_step 30	train_loss 5.8376	MSE 5.8376
train_step 31	train_loss 0.5966	MSE 0.5966
train_step 32	train_loss 0.5874	MSE 0.5874
train_step 33	train_loss 7.7602	MSE 7.7602
train_step 34	train_loss 2.7497	MSE 2.7497
train_step 35	train_loss 0.0916	MSE 0.0916
train_step 36	train_loss 1.7015	MSE 1.7015
train_step 37	train_loss 4.8427	MSE 4.8427
train_step 38	train_loss 1.5760	MSE 1.5760
train_step 39	train_loss 1.9162	MSE 1.9162
train_step 40	train_loss 1.6347	MSE 1.6347
train_step 41	train_loss 1.4848	MSE 1.4848
train_step 42	train_loss 1.2524	MSE 1.2524
